sent,source,effective,expires,senderName,headline,description,instruction,web,alert_title,severity_level,alert_disease,areaDesc,areaDesc_EN,circle,ISO3166,areaDetail,ISO3166_2
"2020-01-31T15:42:48+08:00","CDC","2020-01-31T15:42:48+08:00","2020-04-30T15:42:48+08:00","疾病管制署","奈及利亞-拉薩熱","奈及利亞公布第4週(1/20-1/26)新增95例確診，318例疑似；該國今年截至1/26累計19州258例確診(41例死亡)，高於去年同期；病例分布以南部埃多州(Edo)及翁多州(Ondo)為多，其次為埃邦伊州(Ebonyi)，該國往年高峰期為12月至隔年6月。","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=zKTdtT21Wt4NaR82T5qjIw","國際重要疫情資訊","第一級:注意(Watch)","拉薩熱","奈及利亞","Nigeria","9.49,7.91","NG","",""
"2020-01-31T15:41:48+08:00","CDC","2020-01-31T15:41:48+08:00","2020-04-30T15:41:48+08:00","疾病管制署","烏干達-黃熱病","烏干達衛生部1/27公布4例確診，其中2例來自莫約區(Moyo)，皆為男性，發病前曾至南蘇丹，於隔離病房中死亡；另2例為布利薩區(Buliisa)之夫妻，丈夫於治療中死亡，妻子為接觸者並檢驗陽性，目前狀況穩定。當局已進行感染源調查，並將於受感染地區進行疫苗接種活動。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=ZwJ0pGTlwmqXtQW5wVkE3A","國際重要疫情資訊","","黃熱病","烏干達","Uganda","1.51,32.16","UG","",""
"2020-01-31T15:33:22+08:00","CDC","2020-01-31T15:33:22+08:00","2020-04-30T15:33:22+08:00","疾病管制署","全球-小兒麻痺症","全球小兒麻痺症根除倡議組織(GPEI)公布上週疫情統計：阿富汗新增1例WPV1，2019年累計29例；巴基斯坦新增2例WPV1，其中1例為今年首例，2019年累計136例；該國亦新增6例cVDPV2，2019年累計18例；剛果民主共和國新增10例cVDPV2，2019年累計73例；馬來西亞新增2例cVDPV1(前已掌握)，2019年累計3例；菲律賓新增2例cVDPV2(前已掌握)，2019年累計13例；多哥共和國新增1例cVDPV2，2019年累計7例。另有5國檢出陽性環境檢體：阿富汗檢出3件WPV1，巴基斯坦檢出4件WPV1，象牙海岸、迦納及菲律賓各檢出2件cVDPV2。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=LJUCvJYgk6FJlRbim8740w","國際重要疫情資訊","","小兒麻痺症/急性無力肢體麻痺","阿富汗,剛果民主共和國,象牙海岸,迦納共和國,馬來西亞,巴基斯坦,菲律賓,多哥","Afghanistan,Congo,Democratic Republic of the,Cote d'Ivoire,Ghana,Malaysia,Pakistan,Philippines,Togo","33.90,66.04","AF,CD,CI,GH,MY,PK,PH,TG","",""
"2020-01-30T11:41:21+08:00","CDC","2020-01-30T11:41:21+08:00","2020-04-30T11:41:21+08:00","疾病管制署","法屬馬約特島-登革熱","法屬馬約特島近期疫情上升，自去年7月至1/15累計352例，近4成病例發生於1月份，7成確診病例來自西北部姆察伯勒小鎮(Mtsamboro)。當局表示主因為氣候條件有利病媒繁殖，將採取病媒控制，並呼籲民眾清除孳生源。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=jnakLFho8cJnY5dt-o49oQ","國際重要疫情資訊","","登革熱","法屬馬約特島","Mayotte","-12.795,45.153","YT","",""
"2020-01-30T11:37:02+08:00","CDC","2020-01-30T11:37:02+08:00","2020-04-30T11:37:02+08:00","疾病管制署","泰國-麻疹","泰國衛生部公布2019年累計74省6,527例，21例死亡，病例年齡以4歲以下及15-43歲為多；今年截至1/18累計139例。","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=QDMUbX4cPu-KovWwKlET9g","國際重要疫情資訊","第一級:注意(Watch)","麻疹","泰國","Thailand","15.02,101.51","TH","",""
"2020-01-30T11:31:45+08:00","CDC","2020-01-30T11:31:45+08:00","2020-04-30T11:31:45+08:00","疾病管制署","全球-流感","WHO於1/20更新全球疫情，南半球溫帶地區流感活動度維持季節間水平，北半球溫帶地區則持續增加。全球病毒株仍以A型(62.3%)為主要流行株，並以A(H3N2)為多；B型病毒株中，以B(Victoria)為主。東亞多數國家活動度上升：中國大陸較近3季同期增加，以H3N2為多，該國南方另檢出B(Victoria)；日本、韓國以H1N1為多，蒙古主要檢出B(Victoria)病毒株。東南亞寮國、馬來西亞、新加坡活動度持續上升，前者為所有型別共同流行，後兩者則為H1N1。北美活動度增加，加拿大以A型為多，另B(Victoria)比例高於往年；美國流行型別以B(Victoria)為主，其次為H1N1。歐洲整體活動度持續上升，北歐部分國家活動度為中，多數國家以H3N2為主；東歐及西南歐活動度仍為低。西亞伊拉克、以色列、土耳其及葉門活動度持續上升，以H1N1為主。中亞除吉爾吉斯活動度增加外，其餘國家呈下降。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=Xku9wou5KxRNWe9y3HumJQ","國際重要疫情資訊","","流感併發重症","加拿大,中國大陸(不含港澳),伊拉克,以色列,日本,韓國,吉爾吉斯,寮國,馬來西亞,蒙古,新加坡,土耳其,美國,葉門","Canada,China,Iraq,Israel,Japan,Korea(South Korea),Kyrgyzstan,Lao People's Dem Rep,Malaysia,Mongolia,Singapore,Turkey,USA,Yemen","54.77,-104.76","CA,CN,IQ,IL,JP,KR,KG,LA,MY,MN,SG,TR,US,YE","",""
"2020-01-30T11:24:00+08:00","CDC","2020-01-30T11:24:00+08:00","2020-04-30T11:24:00+08:00","疾病管制署","剛果民主共和國-伊波拉病毒感染","剛果民主共和國近3週每週平均增加9例，病例分布以貝尼(Beni)近54%為多；2018/5迄今累計3,420例(3,301例確診，119例極可能)，其中2,240例死亡，另病例中172例為醫護人員，自2018/8/8起累計276,520人接種實驗性疫苗(rVSV-ZEBOV)。WHO於1/23評估該國及區域傳播風險為非常高，國際為低。","對當地採取加強防護","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=j7cMpN7_Yk7y4_ogq5LQtg","國際重要疫情資訊","第二級:警示(Alert)","伊波拉病毒感染","剛果民主共和國","Congo,Democratic Republic of the","-3.07,24.52","CD","",""
"2020-01-30T11:19:10+08:00","CDC","2020-01-30T11:19:10+08:00","2020-04-30T11:19:10+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","中國大陸截至1/ 29累計31省市區(不含港澳)確診6,018例新型冠狀病毒感染個案，至少1,239例重症，132例死亡。密切接觸者逾65,537人，追蹤中59,990人。全球其他17國家/地區累計82例。","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=zc-iGDsmjOwqGfwVi_hFIw","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳)","China","34.307144,103.974609","CN","",""
"2020-01-29T14:22:15+08:00","CDC","2020-01-29T14:22:15+08:00","2020-04-29T14:22:15+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、中國大陸疫情概況：中國大陸病例急遽增加。  截至1月28日24時，中國大陸累計31省市區（不含港澳）確診5,974例新型冠狀病毒感染個案，較昨日新增1,459例，其中1,239例重症，132例死亡。累計密切接觸者65,537人，追蹤中59,990人。  二、其他國家/地區疫情：國際間持續出現自中國大陸(湖北省相關為多)境外移入病例，且出現無症狀或輕微症狀即具感染力之案例。  累計72例確診，分布於16國，較前日新增德國。分別為泰國14例、香港8例、澳門7例、新加坡7例、日本7例、美國5例、澳洲5例、馬來西亞4例、南韓4例、法國3例、越南2例、加拿大2例、尼泊爾1例、柬埔寨1例、斯里蘭卡1例及德國1例。  ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=0fiFyGAdWhK0aXPRF3xl-A","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","澳大利亞,柬埔寨,加拿大,中國大陸(不含港澳),法國,德國,香港特別行政區,日本,韓國,澳門特別行政區,馬來西亞,尼泊爾,新加坡,斯里蘭卡,泰國,美國,越南","Australia,Cambodia,Canada,China,France,Germany,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Malaysia,Nepal,Singapore,Sri Lanka,Thailand,USA,Vietnam","-25.00,134.64","AU,KH,CA,CN,FR,DE,HK,JP,KR,MO,MY,NP,SG,LK,TH,US,VN","",""
"2020-01-28T14:07:44+08:00","CDC","2020-01-28T14:07:44+08:00","2020-04-28T14:07:44+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、中國大陸疫情概況：中國大陸病例急遽增加，廣東省可能已有社區流行。  依據中國疾控中心1/27通報及各省市區衛生健康委員會公布資料，中國大陸累計確2,863例新型冠狀病毒感染之肺炎病例，較1/26 24:00新增119例，82例死亡。31省市區（不含港澳）僅餘西藏無確診或疑似病例。  二、其他國家/地區疫情：國際間持續出現自中國大陸(湖北省相關為多)境外移入病例，需加強自中國大陸入境旅客監測。  累計60例確診，分布於15國，較前日新增柬埔寨及斯里蘭卡。分別為泰國8例、香港8例、澳門7例、美國5例、澳洲5例、馬來西亞4例、日本4例、新加坡4例、南韓4例、法國3例、越南2例、尼泊爾2例、加拿大2例、柬埔寨1例及斯里蘭卡1例。  ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=RbmCRVT2SQquxBMyxGtleQ","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","澳大利亞,柬埔寨,加拿大,中國大陸(不含港澳),法國,香港特別行政區,日本,韓國,澳門特別行政區,馬來西亞,尼泊爾,新加坡,斯里蘭卡,泰國,美國,越南","Australia,Cambodia,Canada,China,France,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Malaysia,Nepal,Singapore,Sri Lanka,Thailand,USA,Vietnam","-25.00,134.64","AU,KH,CA,CN,FR,HK,JP,KR,MO,MY,NP,SG,LK,TH,US,VN","",""
"2020-01-27T13:56:09+08:00","CDC","2020-01-27T13:56:09+08:00","2020-04-27T13:56:09+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、中國大陸疫情概況  截至1月26日24時，中國大陸累計確診2,744例新型冠狀病毒感染個案，較昨日新增769例，其中461例重症，80例死亡。31省市區（不含港澳）僅餘西藏無確診或疑似病例。累計密切接觸者32,799人，追蹤中30,453人。  二、其他國家/地區疫情與作為  累計52例確診，分布於13國，較前日新增加拿大。分別為泰國8例、香港8例、澳門5例、美國5例、澳洲4例、馬來西亞4例、日本4例、新加坡4例、法國3例、南韓3例、越南2例、尼泊爾1例及加拿大1例。  ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=NZ9JUHEmwNZF2CDgqR83MQ","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","澳大利亞,加拿大,中國大陸(不含港澳),法國,香港特別行政區,日本,韓國,澳門特別行政區,馬來西亞,尼泊爾,新加坡,泰國,美國,越南","Australia,Canada,China,France,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Malaysia,Nepal,Singapore,Thailand,USA,Vietnam","-25.00,134.64","AU,CA,CN,FR,HK,JP,KR,MO,MY,NP,SG,TH,US,VN","",""
"2020-01-26T13:53:35+08:00","CDC","2020-01-26T13:53:35+08:00","2020-04-26T13:53:35+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、中國大陸疫情概況  截至1月25日24時，中國大陸累計確診1,975例新型冠狀病毒感染個案，較昨日新增688例，其中324例重症，56例死亡。31省市區（不含港澳）僅餘西藏自治區無確診或疑似病例。累計密切接觸者23,431人，追蹤中21,556人。  二、其他國家/地區疫情  國際累計36例確診（不含臺灣），分布於12國。分別為泰國5例、香港5例、澳洲4例、馬來西亞4例、日本3例、新加坡3例、法國3例、澳門2例、越南2例、南韓2例、美國2例及尼泊爾1例。  ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=2kytr2XYMpVO1LX8zQb0ng","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","澳大利亞,中國大陸(不含港澳),法國,香港特別行政區,日本,韓國,澳門特別行政區,馬來西亞,尼泊爾,新加坡,泰國,美國,越南","Australia,China,France,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Malaysia,Nepal,Singapore,Thailand,USA,Vietnam","-25.00,134.64","AU,CN,FR,HK,JP,KR,MO,MY,NP,SG,TH,US,VN","",""
"2020-01-25T13:41:37+08:00","CDC","2020-01-25T13:41:37+08:00","2020-04-25T13:41:37+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、中國大陸疫情概況  截至1月24日24時，中國大陸累計1,287例新型冠狀病毒感染之肺炎確診，較昨日新增457例，其中237例重症，41例死亡，31省市區（不含港澳特別政區）中，30省市區有確診或疑似病例，較昨日新增青海省共1省市區；累計密切接觸者15,197人，追蹤中13,967人。目前僅剩西藏自治區無確診或疑似病例。  二、其他國家/地區疫情  累計27例確診，分布於10國，分別為泰國5例、香港5例、新加坡3例、法國3例、澳門2例、越南2例、日本2例、南韓2例、美國2例、尼泊爾1例。  ","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=zcHr9idc2OrvThhsalm4yA","國際重要疫情資訊","","嚴重特殊傳染性肺炎","中國大陸(不含港澳),法國,香港特別行政區,澳門特別行政區,尼泊爾,新加坡,泰國,美國,越南","China,France,Hong Kong SAR,Macau SAR,Nepal,Singapore,Thailand,USA,Vietnam","34.307144,103.974609","CN,FR,HK,MO,NP,SG,TH,US,VN","",""
"2020-01-24T13:24:21+08:00","CDC","2020-01-24T13:24:21+08:00","2020-04-24T13:24:21+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","​​​​​​一、中國大陸疫情概況  截至1月23日24時，中國大陸累計830例新型冠狀病毒感染之肺炎確診，較昨日新增259例，其中177例重症，25例死亡，31省市區（不含港澳）中，29省市區有確診或疑似病例，較昨日新增甘肅、新疆、陝西及內蒙古共4省市區；累計密切接觸者9,507人，追蹤中8,420人。目前僅剩西藏自治區、青海省無確診或疑似病例。  二、其他國家/地區疫情  累計15例確診，分布於8國，分別為泰國4例、香港2例、澳門2例、越南2例、日本2例、新加坡1例、南韓1例、美國1例。  ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=XrLXbRDzwGuMrjHMc6Fh8Q","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳),香港特別行政區,日本,韓國,澳門特別行政區,新加坡,泰國,美國,越南","China,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Singapore,Thailand,USA,Vietnam","34.307144,103.974609","CN,HK,JP,KR,MO,SG,TH,US,VN","",""
"2020-01-23T13:16:02+08:00","CDC","2020-01-23T13:16:02+08:00","2020-04-23T13:16:02+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","一、 中國大陸疫情概況  截至 1 月 22 日 24 時，中國大陸累計 571 例確診，其中 95 例重症，17 例死亡，31 省市（不含港澳特別政區）中，24 省市有確診病例，較昨日新增河北、遼寧、江蘇及福建省；13 省市報告疑似病例 393 例；累計密切接觸者 5,897 人，追蹤中 4,928 人。  二、其他國家/地區疫情  累計10例確診，分布於6國，分別為泰國4例、香港2例、澳門1例、日本1例、南韓1例、美國1例。    ","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=zUC6Wirx--x5KVUlZUnJPA","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳),香港特別行政區,日本,韓國,澳門特別行政區,泰國,美國","China,Hong Kong SAR,Japan,Korea(South Korea),Macau SAR,Thailand,USA","34.307144,103.974609","CN,HK,JP,KR,MO,TH,US","",""
"2020-01-22T11:28:58+08:00","CDC","2020-01-22T11:28:58+08:00","2020-04-22T11:28:58+08:00","疾病管制署","南非共和國-廣泛抗藥性克雷伯氏肺炎桿菌","南非共和國北部Tembisa醫院爆發疫情，自2019/11至2020/1/16累計22例嬰兒確診，其中21例帶有碳青黴烯抗藥性，10例死亡。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=9fSGqCIqpSRtduVek9NpBw","國際重要疫情資訊","","","南非","South Africa","-30.90,23.90","ZA","",""
"2020-01-22T11:27:14+08:00","CDC","2020-01-22T11:27:14+08:00","2020-04-22T11:27:14+08:00","疾病管制署","喀麥隆-猴痘","WHO公布喀麥隆中部傳出2例，為1名13個月大孩童及其母親，病患分別於2019/12/24及26就診，孩童於1/2死亡，當局已發布警報。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=FVvLWgWfns8d0otrNKCxzg","國際重要疫情資訊","","","喀麥隆","Republic of Cameroon","5.79,12.52","CM","",""
"2020-01-22T11:26:11+08:00","CDC","2020-01-22T11:26:11+08:00","2020-04-22T11:26:11+08:00","疾病管制署","查德-麻疹","查德疫情持續，第1週(12/30-1/5)新增123例疑似，1例死亡，逾5成病例來自南部地區(Kyabe、Bebeto及Benoye)；該國去年於6-7月達疫情高峰後穩定下降，直至年底每週平均新增150例，2019年累計逾26,000例，259例死亡。WHO表示該國免疫覆蓋率仍低，近10年平均值為45%。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=1dDFMNZ0VUKWOr5XToDRWg","國際重要疫情資訊","","麻疹","查德","Chad","15.32,18.94","TD","",""
